parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
23Al,23Mg,b+ec,13,10,0.0,5/2,1,12,11,450.0,5/2,1,41.0,1.0,5.19,0.6,0.039681909,0.054822583,1.381551056,True,5,5,0.0,False,0.0
23Al,23Mg,b+ec,13,10,0.0,5/2,1,12,11,2050.9,7/2,1,10.0,1.0,5.5,0.6,0.019435358,0.02685094,1.381551056,True,5,7,0.0,False,1.0
24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,8439.4,4,3,50.0,2.0,3.93,0.02,0.722092037,0.033253567,0.046051702,True,8,8,0.0,False,0.0
24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,4122.0,4,1,7.7,1.0,6.13,0.06,0.004556093,0.000629447,0.138155106,True,8,8,0.0,False,0.0
24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,5235.1,3,1,1.4,0.13,6.59,0.04,0.001579765,0.000145502,0.092103404,True,8,6,0.0,False,-1.0
24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,6010.8,4,2,1.2,0.1,6.43,0.04,0.002283456,0.000210314,0.092103404,True,8,8,0.0,False,0.0
24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,7812.3,5,1,0.05,0.02,7.19,0.17,0.000396819,0.000155331,0.391439466,True,8,10,0.0,False,1.0
25Al,25Mg,b+ec,13,12,0.0,5/2,1,12,13,0.0,5/2,1,99.11,0.08,3.57,0.01,1.65421729,0.038089761,0.023025851,True,5,5,0.0,True,0.0
25Al,25Mg,b+ec,13,12,0.0,5/2,1,12,13,974.0,3/2,1,0.047,0.006,6.2,0.01,0.003877864,8.92911e-05,0.023025851,True,5,3,0.0,True,-1.0
25Al,25Mg,b+ec,13,12,0.0,5/2,1,12,13,1611.7,7/2,1,0.78,0.021,4.36,0.01,0.26828263,0.006177436,0.023025851,True,5,7,0.0,True,1.0
23Si,23Al,b+ec,14,9,0.0,5/2,1,13,10,0.0,5/2,1,25.0,3.0,5.2,0.1,0.038778638,0.008929111,0.230258509,False,5,5,0.0,False,0.0
23Si,23Al,b+ec,14,9,0.0,5/2,1,13,10,1773.0,3/2,1,10.0,1.0,5.3,0.1,0.030802967,0.007092645,0.230258509,False,5,3,0.0,False,-1.0
23Si,23Al,b+ec,14,9,0.0,5/2,1,13,10,3197.0,3/2,2,7.8,0.6,5.2,0.1,0.038778638,0.008929111,0.230258509,False,5,3,0.0,False,-1.0
